time, x, y
0.100000, 10.866456, 11.306481
0.200000, 9.368081, 10.536227
0.300000, 11.016722, 9.363030
0.400000, 10.890171, 9.363030
0.500000, 11.393548, 11.330473
0.600000, 10.630466, 9.363030
0.700000, 10.391203, 9.363030
0.800000, 10.248953, 9.363030
0.900000, 9.878242, 9.363030
1.000000, 9.667892, 9.363030
1.100000, 9.461975, 9.363030
1.200000, 9.389369, 9.363030
1.300000, 9.902638, 9.363030
1.400000, 9.991393, 9.363030
1.500000, 10.156630, 9.363030
1.600000, 9.971861, 9.363030
1.700000, 10.410078, 9.363030
1.800000, 12.447198, 10.536227
1.900000, 10.516866, 9.363030
2.000000, 10.821063, 9.363030
2.100000, 11.044080, 9.363030
2.200000, 10.977245, 9.363030
2.300000, 11.059041, 9.363030
2.400000, 10.846632, 9.363030
2.500000, 10.670212, 9.363030
2.600000, 10.688854, 9.363030
2.700000, 11.035418, 9.363030
2.800000, 10.814944, 9.363030
2.900000, 10.946464, 9.363030
3.000000, 9.854895, 9.363030
3.100000, 9.882754, 9.363030
3.200000, 10.871705, 9.363030
3.300000, 10.240862, 9.363030
3.400000, 9.905946, 9.363030
3.500000, 10.279943, 9.363030
3.600000, 10.223847, 9.363030
3.700000, 12.476119, 10.536227
3.800000, 11.862741, 10.348132
3.900000, 11.078866, 9.363030
4.000000, 10.123227, 9.363030
4.100000, 10.060556, 9.363030
4.200000, 10.724231, 9.363030
4.300000, 10.610638, 9.363030
4.400000, 12.139696, 10.348132
4.500000, 10.900486, 9.363030
4.600000, 10.770561, 9.363030
4.700000, 10.187350, 9.363030
4.800000, 11.070647, 9.363030
4.900000, 10.171666, 9.363030
5.000000, 12.032129, 10.348132
5.100000, 10.309273, 9.363030
5.200000, 10.264559, 9.363030
5.300000, 10.289065, 9.363030
5.400000, 10.220946, 9.363030
5.500000, 10.176763, 9.363030
5.600000, 9.132128, 8.632478
5.700000, 10.794151, 9.363030
5.800000, 10.519885, 9.363030
5.900000, 10.656646, 9.363030
6.000000, 10.682470, 9.363030
6.100000, 11.034262, 9.363030
6.200000, 8.925144, 8.632478
6.300000, 9.102025, 8.632478
6.400000, 8.776683, 8.632478
6.500000, 9.096682, 8.632478
6.600000, 9.063066, 8.632478
6.700000, 10.874426, 9.363030
6.800000, 9.182939, 8.632478
6.900000, 9.222075, 8.632478
7.000000, 9.224860, 8.632478
7.100000, 9.100287, 8.632478
7.200000, 9.166439, 8.632478
7.300000, 10.868789, 9.363030
7.400000, 9.172824, 8.632478
7.500000, 9.257039, 8.632478
7.600000, 8.896833, 8.632478
7.700000, 8.975228, 8.632478
7.800000, 9.049842, 8.632478
7.900000, 11.065179, 9.363030
8.000000, 9.146757, 8.632478
8.100000, 8.831839, 8.632478
8.200000, 10.747866, 9.363030
8.300000, 10.985755, 9.363030
8.400000, 10.624189, 9.363030
8.500000, 10.697566, 9.363030
8.600000, 11.045928, 9.363030
8.700000, 10.742299, 9.363030
8.800000, 11.008526, 9.363030
8.900000, 10.945490, 9.363030
9.000000, 10.857513, 9.363030
9.100000, 10.824903, 9.363030
9.200000, 10.826850, 9.363030
9.300000, 11.084617, 9.363030
9.400000, 8.844290, 8.632478
9.500000, 9.096681, 8.632478
9.600000, 9.298753, 8.632478
9.700000, 10.781158, 9.363030
9.800000, 10.835757, 9.363030
9.800000, 9.301301, 8.632478
