time, x, y
0.100000, 0.000467, 4.645180
0.200000, -0.138693, 4.956592
0.300000, -0.141544, 4.956592
0.400000, -0.126728, 4.956592
0.500000, 0.102339, 4.530295
0.600000, -0.051261, 5.087205
0.700000, 0.122403, 5.087205
0.800000, -0.041756, 5.087205
0.900000, -0.314898, 5.087205
1.000000, -0.256170, 5.087205
1.100000, 0.326630, 5.087205
1.200000, 0.073964, 5.087205
1.300000, -0.038520, 5.087205
1.400000, 0.042364, 5.087205
1.500000, -0.131308, 5.087205
1.600000, 0.042617, 5.087205
1.700000, 0.038106, 5.087205
1.800000, -0.041926, 5.087205
1.900000, -0.074015, 4.689160
2.000000, 0.068099, 4.689160
2.100000, 0.094086, 4.689160
2.200000, -0.003784, 4.689160
2.300000, -0.056373, 4.689160
2.400000, -0.028411, 4.689160
2.500000, 0.056874, 4.689160
2.600000, -0.072918, 4.722860
2.700000, -0.054350, 4.689160
2.800000, 0.102950, 4.689160
2.900000, 0.042352, 4.689160
3.000000, -0.100681, 4.689160
3.100000, -0.099472, 4.689160
3.200000, 0.032231, 5.087205
3.300000, 0.070443, 4.689160
3.400000, -0.070269, 5.172768
3.500000, 0.061222, 4.689160
3.600000, 0.090944, 4.689160
3.700000, 0.001214, 4.689160
3.800000, 0.069633, 4.689160
3.900000, 0.023438, 4.689160
4.000000, 0.055026, 5.087205
4.100000, -0.048828, 5.172768
4.200000, 0.100961, 4.689160
4.300000, -0.063641, 5.172768
4.400000, -5.209906, 5.513986
4.500000, 0.201074, 5.603070
4.600000, 0.229680, 5.603070
4.700000, -0.275795, 4.441663
4.800000, 0.028996, 5.603070
4.900000, -0.279819, 5.603070
5.000000, -0.175593, 5.603070
5.100000, -0.245452, 5.603070
5.200000, -0.144070, 4.372344
5.300000, -0.258959, 5.603070
5.400000, -0.098972, 4.402189
5.500000, -0.236301, 5.603070
5.600000, -0.272596, 4.088497
5.700000, 0.224279, 5.603070
5.800000, 0.238284, 5.603070
5.900000, -0.241834, 5.603070
6.000000, -0.285836, 5.603070
6.100000, -0.272481, 5.558658
6.200000, -0.259892, 5.558658
6.300000, -0.211381, 4.088497
6.400000, -0.342573, 5.558658
6.500000, 0.026312, 5.050650
6.600000, -0.247440, 5.558658
6.700000, -0.218772, 5.603070
6.800000, 0.226014, 4.318054
6.900000, 0.280072, 5.603070
7.000000, -0.222571, 5.558658
7.100000, 0.207464, 5.603070
7.200000, 0.198495, 5.558658
7.300000, 0.233630, 5.603070
7.400000, 0.218831, 5.603070
7.500000, 0.206122, 5.603070
7.600000, 0.255552, 5.603070
7.700000, 0.223859, 5.558658
7.800000, -0.205854, 5.603070
7.900000, -0.218469, 5.558658
8.000000, -0.270765, 5.603070
8.100000, 0.223865, 5.558658
8.200000, 0.216199, 5.603070
8.300000, 0.048199, 4.706886
8.400000, 0.226121, 5.603070
8.500000, 0.222160, 5.558658
8.600000, 0.265274, 5.603070
8.700000, -0.209754, 5.558658
8.800000, -0.056539, 4.761031
8.900000, 0.250763, 5.603070
9.000000, 0.388911, 3.767812
9.100000, 0.570281, 3.653021
9.200000, 0.725159, 3.767812
9.300000, 0.067308, 4.761031
9.400000, 0.133742, 5.558658
9.500000, 0.203421, 5.558658
9.600000, 0.117300, 5.135616
9.700000, 0.235911, 5.558658
9.800000, 0.220574, 5.558658
9.900000, 0.197272, 5.558658
10.000000, 0.190286, 5.558658
10.100000, -0.005726, 4.434272
10.200000, 0.257272, 5.205542
10.300000, 0.291375, 5.558658
10.400000, 0.199113, 5.558658
10.500000, 0.200631, 5.558658
10.600000, 0.247634, 5.558658
10.700000, 0.235297, 5.558658
10.800000, -0.171855, 5.205542
10.900000, 0.225606, 5.558658
11.000000, 0.205636, 5.558658
11.100000, 0.246550, 5.558658
11.200000, 0.256014, 5.558658
11.300000, 0.194990, 5.558658
11.400000, 0.203590, 5.558658
11.500000, -0.277741, 5.558658
11.600000, -0.195423, 5.558658
11.700000, 0.228623, 5.558658
11.800000, 0.281320, 5.558658
11.900000, 9.629687, 4.074692
12.000000, 0.626481, 2.766391
12.100000, 0.505841, 2.766391
12.200000, 0.404331, 2.766391
12.300000, 0.085564, 3.746853
12.400000, 0.269490, 4.207073
12.500000, 0.304300, 4.207073
12.600000, 0.171889, 4.207073
12.700000, -0.041443, 4.207073
12.800000, 0.133751, 4.207073
12.900000, 0.207377, 4.207073
13.000000, 0.042252, 4.207073
13.100000, 0.141583, 4.207073
13.200000, 0.212168, 4.207073
13.300000, -0.207192, 3.955294
13.400000, 0.234979, 4.207073
13.500000, -0.001497, 4.981979
13.600000, 0.031732, 4.981979
13.700000, 0.060208, 4.981979
13.800000, 0.210656, 4.207073
13.900000, 0.108558, 4.981979
14.000000, 0.157750, 4.981979
14.100000, -0.062893, 4.827608
14.200000, -0.220725, 4.207073
14.300000, 0.003186, 4.981979
14.400000, -0.002657, 4.981979
14.500000, 0.059848, 4.981979
14.600000, -0.007154, 4.981979
14.700000, -0.004612, 4.981979
14.800000, 0.003582, 4.981979
14.900000, -0.018489, 4.981979
15.000000, -0.149548, 4.396528
15.100000, -0.163977, 4.396528
15.200000, -0.002630, 4.981979
15.300000, -0.030619, 4.981979
15.400000, 0.016783, 4.981979
15.500000, 0.001142, 4.981979
15.600000, 0.003977, 4.981979
15.700000, -0.028001, 4.981979
15.800000, 0.079130, 4.981979
15.800000, 0.092836, 4.981979
