time, x, y
0.100000, 0.040238, 5.297609
0.200000, 0.060521, 5.297609
0.300000, 0.017751, 5.297609
0.400000, -0.199443, 3.867953
0.500000, 0.106834, 5.297609
0.600000, -0.075703, 4.652702
0.700000, 0.087562, 4.652702
0.800000, -0.110971, 5.297609
0.900000, 1.823169, 3.178298
1.000000, -8.655020, 5.486451
1.100000, 2.048712, 3.178298
1.200000, 1.588601, 3.178298
1.300000, -0.613520, 4.670287
1.400000, 0.583169, 3.178298
1.500000, 8.356805, 3.421052
1.600000, -0.148987, 5.297911
1.700000, -0.086721, 5.297911
1.800000, -3.430480, 3.466875
1.900000, 0.096004, 5.297911
2.000000, -1.496189, 3.904088
2.100000, -2.027333, 5.236955
2.200000, 8.727336, 3.484116
2.300000, -0.363768, 3.145762
2.400000, 9.339009, 2.699892
2.500000, -1.777926, 3.381340
2.600000, -0.877570, 4.270186
2.700000, -0.773873, 4.270186
2.800000, -1.161829, 3.381340
2.900000, -1.789021, 3.381340
3.000000, 8.959275, 5.376070
3.100000, 9.337017, 5.376070
3.200000, 7.456107, 4.623553
3.300000, 9.703475, 5.376070
3.400000, 9.715298, 5.376070
3.500000, 2.834456, 3.493518
3.600000, 9.651323, 5.376070
3.700000, 9.981764, 5.376070
3.800000, -6.683547, 5.080190
3.900000, 9.385264, 5.262560
4.000000, -2.294847, 4.424864
4.100000, 9.156921, 5.262560
4.200000, -6.359103, 3.748972
4.300000, 0.007051, 3.371275
4.400000, -0.212766, 3.371275
4.500000, -6.815444, 2.999988
4.600000, -0.507488, 3.371275
4.700000, 7.551247, 4.790392
4.800000, 7.367771, 4.790392
4.900000, -1.890628, 2.834106
5.000000, -0.633825, 2.602132
5.100000, -2.043311, 2.834106
5.200000, -0.554683, 2.602132
5.300000, -0.535078, 2.602132
5.400000, -0.537805, 2.602132
5.500000, -0.450883, 2.602132
5.600000, -0.371853, 4.069752
5.700000, -0.325701, 5.601357
5.800000, -0.335714, 5.601357
5.900000, -0.299967, 5.601357
6.000000, -0.297639, 5.601357
6.100000, -0.248951, 5.601357
6.200000, -0.599044, 5.601357
6.300000, 0.284537, 5.626832
6.400000, 0.195104, 4.305697
6.500000, 0.175137, 4.305697
6.600000, 0.281986, 5.626832
6.700000, 0.224085, 5.626832
6.800000, 0.394001, 5.626832
6.900000, -0.768514, 2.602132
7.000000, -0.758927, 5.601357
7.100000, 0.126678, 4.305697
7.200000, 0.107020, 4.305697
7.300000, 0.835698, 5.626832
7.400000, 0.738494, 2.602132
7.500000, 0.323695, 5.626832
7.600000, 0.375704, 3.747741
7.700000, 0.315213, 5.307141
7.800000, 1.547278, 5.626832
7.900000, 0.992237, 5.626832
8.000000, 1.468331, 5.633027
8.100000, 0.276731, 5.626832
8.200000, 6.013571, 3.524781
8.300000, 1.924737, 5.626832
8.400000, 0.208925, 5.626832
8.500000, 0.249099, 5.633027
8.600000, 0.207034, 5.626832
8.700000, 7.659136, 3.295183
8.800000, 7.339935, 3.771743
8.900000, -0.009034, 3.959496
9.000000, -0.034286, 3.959496
9.100000, 6.961676, 5.147700
9.200000, 8.707763, 5.606153
9.300000, -8.472064, 3.281548
9.400000, 3.290348, 4.514960
9.500000, 0.287261, 3.615373
9.600000, 0.253405, 4.873252
9.700000, 0.186979, 4.831204
9.800000, 0.017126, 4.831204
9.900000, -0.080710, 4.831204
10.000000, 0.262397, 5.419891
10.100000, -0.039928, 4.831204
10.200000, 0.052476, 4.831204
10.300000, -3.144739, 3.845008
10.400000, 9.505145, 3.586214
10.500000, 0.264541, 4.873252
10.600000, 0.241504, 4.831204
10.700000, 0.031463, 4.831204
10.800000, -0.037961, 4.831204
10.900000, 0.042065, 5.091425
11.000000, 0.030972, 4.831204
11.100000, 0.034643, 4.831204
11.200000, 0.029315, 4.831204
11.300000, 0.037290, 4.831204
11.400000, -0.069372, 4.695196
11.500000, 0.023110, 4.831204
11.600000, 0.053280, 4.831204
11.700000, 1.602711, 4.831204
11.800000, -0.251063, 4.506953
11.900000, 0.040736, 4.831204
12.000000, -0.043429, 4.831204
12.100000, 0.788692, 4.831204
12.200000, -0.188792, 4.831204
12.300000, -0.174898, 5.500561
12.400000, 0.031845, 4.831204
12.500000, 0.005426, 4.831204
12.600000, 0.025805, 4.831204
12.600000, 0.051236, 4.831204
