time, x, y
0.100000, 0.265164, 3.810111
0.200000, 4.249651, 3.712794
0.300000, 4.518842, 3.712794
0.400000, 3.718990, 5.144592
0.500000, 0.248332, 4.842029
0.600000, 4.869161, 3.712794
0.700000, 0.138081, 4.455953
0.800000, 1.924852, 4.908100
0.900000, -0.622277, 4.842029
1.000000, 3.807831, 4.281336
1.100000, -0.000492, 4.806349
1.200000, -0.282349, 4.842029
1.300000, 1.417718, 5.493587
1.400000, 0.318827, 5.035051
1.500000, -0.193232, 4.017237
1.600000, 3.531829, 2.814236
1.700000, 1.155089, 4.806349
1.800000, 0.534167, 5.290169
1.900000, 0.937711, 5.493587
2.000000, 1.615953, 5.493587
2.100000, 0.176494, 4.392471
2.200000, -0.261589, 5.493587
2.300000, 1.123033, 5.493587
2.400000, 4.527063, 3.863766
2.500000, 4.699701, 3.863766
2.600000, 4.944897, 3.366999
2.700000, 4.170047, 3.366999
2.800000, 4.358607, 3.863766
2.900000, 4.797965, 3.863766
3.000000, -3.390261, 3.824569
3.100000, 3.198655, 3.366999
3.200000, 3.434431, 3.863766
3.300000, 3.411745, 3.863766
3.400000, -9.779362, 4.412629
3.500000, 3.625647, 3.716520
3.600000, 2.673904, 3.549277
3.700000, 3.809794, 3.716520
3.800000, -5.652201, 4.050328
3.900000, -5.078201, 3.069931
4.000000, -2.463391, 4.620682
4.100000, 7.159911, 2.754555
4.200000, 7.415480, 2.754555
4.300000, 2.900538, 2.978485
4.400000, -4.063164, 3.069931
4.500000, 1.082478, 4.594843
4.600000, 1.833877, 2.978485
4.700000, 0.656692, 5.094739
4.800000, -4.671187, 3.069931
4.900000, 4.091117, 3.975249
5.000000, -9.620722, 4.815326
5.100000, -0.019709, 4.226467
5.200000, 0.314647, 4.226467
5.300000, 0.002087, 4.391443
5.400000, 0.074396, 2.872843
5.500000, -0.515387, 3.360328
5.600000, -0.530846, 3.360328
5.700000, -0.217562, 3.360328
5.800000, -0.197203, 3.360328
5.900000, -0.179141, 3.360328
6.000000, 0.233077, 3.360328
6.100000, 0.187429, 3.895134
6.200000, -0.520008, 3.360328
6.300000, -0.096327, 3.526543
6.400000, 0.316168, 5.563620
6.500000, 2.454188, 3.360328
6.600000, 0.099991, 5.563620
6.700000, -0.050932, 5.563620
6.800000, 0.300597, 5.542559
6.900000, 0.514033, 3.360328
7.000000, 0.171273, 3.526543
7.100000, 0.126811, 3.526543
7.200000, 1.551648, 5.594287
7.300000, 4.215151, 4.905674
7.400000, -0.010833, 4.662595
7.500000, -3.817598, 4.145186
7.600000, 4.070554, 3.360328
7.700000, 3.959435, 3.327451
7.800000, -3.525728, 4.405386
7.900000, 1.654594, 3.038401
8.000000, 3.783856, 4.912741
8.100000, -2.928976, 5.018924
8.200000, -0.023314, 3.663543
8.300000, 3.159306, 3.670236
8.400000, -3.727328, 3.263322
8.500000, -1.581144, 4.324372
8.600000, -0.492959, 4.755639
8.700000, 3.255257, 4.340062
8.800000, 4.539925, 3.649584
8.900000, 0.287863, 3.670236
9.000000, -0.273627, 3.670236
9.100000, -1.220731, 3.670236
9.200000, 0.017437, 4.838504
9.300000, -0.131532, 4.838504
9.400000, -0.425702, 3.670236
9.500000, -4.231955, 3.670236
9.600000, -0.374293, 3.670236
9.700000, 1.079141, 4.249249
9.800000, 4.288360, 3.129809
9.900000, 9.398804, 4.968706
10.000000, -0.310258, 5.547878
10.100000, -1.298010, 4.351154
10.200000, 3.805019, 4.216555
10.300000, 4.185775, 4.216555
10.400000, -3.569966, 3.144076
10.500000, 4.395351, 4.216555
10.600000, -4.222241, 3.144076
10.700000, 9.938408, 3.695257
10.800000, 3.680187, 3.861987
10.900000, -0.621371, 4.340211
11.000000, -1.318066, 4.340211
11.100000, -0.885113, 4.340211
11.200000, 0.122745, 2.682499
11.300000, -0.645859, 4.340211
11.400000, -0.439161, 4.340211
11.500000, -0.013711, 4.340211
11.600000, 1.209346, 5.511307
11.700000, -0.848201, 3.636541
11.800000, 1.628229, 4.662038
11.900000, 1.700451, 4.662038
11.900000, -1.475331, 2.996813
