time, x, y
0.100000, -0.130524, 3.834095
0.200000, -0.239088, 5.264512
0.300000, 0.086107, 4.714843
0.400000, 0.116054, 4.714843
0.500000, -0.181274, 5.506900
0.600000, -0.258475, 5.506900
0.700000, -0.278016, 5.630238
0.800000, -0.193498, 5.532119
0.900000, -0.191292, 5.532119
1.000000, -0.201948, 5.532119
1.100000, -0.031979, 4.714843
1.200000, -0.096349, 4.714843
1.300000, 0.017633, 4.714843
1.400000, 0.084255, 4.714843
1.500000, -0.072153, 4.714843
1.600000, 7.601559, 3.531854
1.700000, 0.912722, 4.714843
1.800000, -0.235384, 5.300337
1.900000, 2.747199, 3.105976
2.000000, -0.034593, 5.409614
2.100000, 0.252901, 5.409614
2.200000, 0.391426, 5.409614
2.300000, 0.416755, 5.409614
2.400000, 0.636639, 3.070726
2.500000, 0.289292, 5.409614
2.600000, -0.086328, 5.133419
2.700000, 8.690982, 3.410047
2.800000, 3.492848, 3.908430
2.900000, 7.460612, 3.083443
3.000000, 1.774575, 2.945355
3.100000, -0.357297, 5.594924
3.200000, -0.672010, 5.594924
3.300000, 8.822265, 3.238038
3.400000, 7.040737, 5.101783
3.500000, 8.753708, 3.238038
3.600000, 2.984799, 3.193157
3.700000, -7.664424, 3.451584
3.800000, 2.858609, 3.193157
3.900000, 0.130814, 5.049219
4.000000, -8.703671, 4.636847
4.100000, 2.536942, 3.193157
4.200000, -8.214123, 4.991807
4.300000, -7.836834, 4.991807
4.400000, 0.963160, 4.679926
4.500000, 7.656505, 5.078522
4.600000, 8.654621, 5.078522
4.700000, 7.288305, 5.078522
4.800000, 7.161334, 5.078522
4.900000, 0.156506, 4.063422
5.000000, 0.376679, 4.883835
5.100000, 8.050138, 3.685818
5.200000, 0.369332, 4.883835
5.300000, 0.217248, 4.883835
5.400000, 0.007326, 4.883835
5.500000, 0.036862, 4.883835
5.600000, 0.210697, 4.883835
5.700000, 0.743362, 4.883835
5.800000, 1.334163, 4.883835
5.900000, -0.043731, 4.883835
6.000000, 0.784461, 4.883835
6.100000, 0.414897, 4.883835
6.200000, 0.005103, 4.883835
6.300000, 0.515094, 3.353335
6.400000, 0.443059, 3.353335
6.500000, 0.393883, 3.353335
6.600000, 0.416270, 3.353335
6.700000, 0.007391, 4.883835
6.800000, 0.004080, 4.883835
6.900000, 0.012611, 4.883835
7.000000, 0.064762, 4.883835
7.100000, -0.170724, 4.276718
7.200000, -0.027991, 4.883835
7.300000, -0.027168, 4.883835
7.400000, 0.064184, 4.883835
7.500000, -0.022180, 4.883835
7.600000, -0.015375, 4.883835
7.700000, -0.039077, 4.883835
7.800000, -0.009745, 4.883835
7.900000, -0.033233, 4.883835
8.000000, -0.005052, 4.883835
8.100000, -0.057653, 4.883835
8.200000, -0.064256, 4.883835
8.300000, -0.093835, 4.883835
8.400000, -0.562729, 5.106452
8.500000, -0.011302, 4.883835
8.600000, -0.000636, 4.883835
8.700000, -0.404240, 3.640546
8.800000, -0.352550, 2.637214
8.900000, 0.089951, 4.883835
9.000000, -4.730787, 3.611233
9.100000, -0.720233, 2.637214
9.200000, 0.027246, 4.883835
9.300000, -0.143821, 4.883835
9.400000, -7.594449, 3.823150
9.500000, -0.210872, 4.883835
9.600000, -0.239884, 4.883835
9.700000, -0.026344, 4.883835
9.800000, 9.578614, 3.491382
9.900000, -2.153271, 4.883835
10.000000, -9.007446, 5.496043
10.100000, 9.776599, 4.276677
10.200000, 0.858422, 4.656616
10.300000, 9.279783, 4.188244
10.400000, -0.178890, 5.451163
10.500000, 6.474475, 4.324552
10.600000, 8.812920, 3.019695
10.700000, 8.588544, 3.019695
10.800000, 9.224386, 3.095958
10.900000, 9.429492, 4.709290
11.000000, 0.842135, 3.989815
11.100000, 9.511054, 4.700476
11.200000, -0.059154, 4.449258
11.300000, -0.240242, 4.449258
11.400000, -0.290897, 4.449258
11.500000, 8.675521, 2.931895
11.600000, -8.427362, 3.422909
11.700000, -3.590604, 3.259803
11.800000, 0.562790, 5.411344
11.900000, 0.156191, 5.411344
12.000000, -0.312519, 5.411344
12.100000, -0.605662, 5.411344
12.200000, -0.111650, 3.510827
12.300000, -0.188074, 3.510827
12.400000, -0.347755, 3.510827
12.500000, 0.406110, 2.886761
12.600000, -0.027552, 3.510827
12.700000, -0.325698, 3.510827
12.800000, -0.196290, 3.510827
12.900000, -0.182882, 3.510827
13.000000, -0.202713, 3.510827
13.100000, -0.061274, 4.438171
13.200000, 0.163063, 3.510827
13.200000, -0.180498, 3.510827
