time, x, y
0.100000, 0.137465, 3.412630
0.200000, 0.131577, 3.020583
0.300000, 0.537987, 2.448663
0.400000, 0.557857, 3.020583
0.500000, 0.516318, 3.020583
0.600000, 4.262647, 3.202260
0.700000, 0.770703, 3.929032
0.800000, 0.887412, 3.929032
0.900000, 3.043483, 2.722858
1.000000, 0.115369, 3.690837
1.100000, 3.196857, 2.102580
1.200000, 0.223725, 3.929032
1.300000, 0.997306, 3.929032
1.400000, 1.686914, 3.926094
1.500000, 0.528747, 3.633935
1.600000, 0.197549, 3.633935
1.700000, 2.460447, 2.377678
1.800000, 1.574358, 3.929032
1.900000, 1.053174, 3.929032
2.000000, 0.318550, 3.929032
2.100000, 2.689769, 2.067919
2.200000, -0.418679, 3.535388
2.300000, -0.246684, 3.535388
2.400000, 0.117115, 3.535388
2.500000, 2.864724, 2.707966
2.600000, 2.330331, 2.620015
2.700000, 0.513721, 3.272478
2.800000, 0.577057, 3.272478
2.900000, 3.673082, 2.341015
3.000000, 0.160376, 3.272478
3.100000, 0.302528, 3.272478
3.200000, 4.127359, 2.192704
3.300000, 0.878965, 3.326668
3.400000, 2.680000, 2.172227
3.500000, 0.506588, 3.272478
3.600000, -1.797022, 3.840871
3.700000, 4.026693, 2.626012
3.800000, 3.800028, 2.626012
3.900000, 3.405911, 2.626012
4.000000, 3.358726, 2.626012
4.100000, 2.662542, 2.165944
4.200000, 2.354421, 2.165944
4.300000, 1.823473, 2.165944
4.400000, 2.188298, 2.165944
4.500000, 1.340633, 2.165944
4.600000, 0.546507, 2.901662
4.700000, -0.075362, 3.830195
4.800000, 1.455029, 2.165944
4.900000, 0.498647, 2.460054
5.000000, 0.742695, 2.460054
5.100000, 1.333402, 2.165944
5.200000, 0.954928, 3.352606
5.300000, 1.254885, 3.614640
5.400000, 0.258811, 3.352606
5.500000, 0.859005, 3.614640
5.600000, 0.686401, 3.614640
5.700000, 0.560113, 3.416298
5.800000, 3.093769, 2.918053
5.900000, 3.985540, 2.436797
6.000000, 0.979145, 3.194296
6.100000, 1.119723, 3.194296
6.200000, 0.142806, 3.572320
6.300000, 0.541905, 3.934983
6.400000, 0.552462, 3.934983
6.500000, 0.440652, 3.194296
6.600000, 2.752499, 2.095037
6.700000, 1.221069, 3.300196
6.800000, 0.914246, 3.560684
6.900000, 0.967280, 3.560684
7.000000, 0.965160, 3.560684
7.100000, 1.166979, 3.560684
7.200000, 1.424889, 3.560684
7.300000, -0.575267, 3.849013
7.400000, 0.203888, 3.560684
7.500000, 0.104471, 3.560684
7.600000, 0.193813, 3.560684
7.700000, 0.142911, 3.560684
7.800000, 0.194575, 3.560684
7.900000, 0.173291, 3.560684
8.000000, -1.303364, 3.683451
8.100000, -0.625050, 2.057180
8.200000, -1.175942, 3.560684
8.300000, -1.344177, 3.560684
8.400000, -0.974510, 3.560684
8.500000, -1.106115, 3.560684
8.600000, -1.045887, 3.560684
8.700000, -1.020053, 3.560684
8.800000, -1.398436, 3.560684
8.900000, -1.333025, 3.560684
9.000000, -0.941778, 3.672594
9.100000, -1.031600, 3.560684
9.200000, -0.184838, 3.560684
9.300000, -0.342018, 2.628161
9.400000, -0.472109, 2.646752
9.500000, -1.011275, 3.560684
9.600000, -0.592547, 3.560684
9.700000, -1.527825, 3.560684
9.800000, -0.573684, 2.294674
9.900000, -0.556558, 2.646752
10.000000, -0.572348, 3.560684
10.100000, -0.734883, 2.294674
10.200000, -0.662630, 2.345661
10.300000, -1.176894, 3.560684
10.400000, -0.640355, 2.345661
10.500000, -1.726998, 3.560684
10.600000, -1.378550, 3.560684
10.700000, -1.851519, 3.560684
10.800000, 2.570674, 2.287434
10.900000, -0.474690, 3.111274
11.000000, -0.243632, 3.111274
11.100000, 0.008331, 2.058551
11.200000, 0.099229, 3.775286
11.300000, -0.180804, 3.775286
11.400000, -2.368304, 3.863009
11.500000, -1.506779, 3.775286
11.600000, -1.565342, 3.775286
11.700000, -1.768644, 3.775286
11.800000, -1.126539, 3.775286
11.900000, -0.278728, 3.426588
12.000000, -0.985189, 3.775286
12.100000, -1.622069, 3.262293
12.200000, -0.702017, 2.198904
12.300000, -1.648509, 3.775286
12.400000, -0.178933, 3.853771
12.500000, -2.342911, 3.775286
12.600000, -1.782614, 3.775286
12.700000, -0.813731, 3.775286
12.800000, -0.797728, 2.066929
12.900000, -0.586086, 2.066929
13.000000, 4.506325, 2.585459
13.100000, -0.371026, 3.176785
13.200000, -0.320254, 3.176785
13.300000, -0.358090, 3.176785
13.300000, -0.166187, 3.176785
