time, x, y
0.100000, 0.079943, 3.281215
0.200000, 0.202630, 3.281215
0.300000, 0.162568, 3.281215
0.400000, 0.186926, 3.281215
0.500000, -5.302794, 2.229792
0.600000, 0.322062, 3.777882
0.700000, -0.039540, 3.777882
0.800000, -0.183429, 3.777882
0.900000, 0.332118, 3.073545
1.000000, -0.020010, 3.073545
1.100000, -0.212492, 3.777882
1.200000, -0.185863, 3.777882
1.300000, 0.138078, 3.777882
1.400000, -0.194467, 3.777882
1.500000, 0.083035, 3.777882
1.600000, 0.226321, 3.777882
1.700000, 0.059042, 3.777882
1.800000, -0.049796, 3.777882
1.900000, -0.079332, 3.777882
2.000000, 0.131242, 3.777882
2.100000, 0.619957, 3.777882
2.200000, 0.297809, 3.777882
2.300000, 0.044506, 3.777882
2.400000, 1.009583, 3.777882
2.500000, 2.872422, 2.653628
2.600000, 1.113938, 3.777882
2.700000, 1.090797, 3.777882
2.800000, 0.400880, 3.777882
2.900000, 1.096841, 3.861807
3.000000, 0.173295, 3.777882
3.100000, 0.130860, 3.465915
3.200000, 0.595168, 3.777882
3.300000, 0.219690, 3.777882
3.400000, 0.067360, 3.908189
3.500000, 0.210445, 3.908189
3.600000, 0.551532, 3.465915
3.700000, 3.932037, 2.843368
3.800000, 4.095034, 2.843368
3.900000, -0.048968, 3.720836
4.000000, -0.130190, 3.720836
4.100000, 1.015637, 3.108536
4.200000, -2.446421, 2.178838
4.300000, 0.370746, 3.716105
4.400000, 0.292449, 3.108536
4.500000, 0.285116, 3.108536
4.600000, 1.656746, 2.299694
4.700000, 0.039073, 3.921355
4.800000, 0.259960, 3.716105
4.900000, 0.316947, 3.108536
5.000000, 0.319415, 3.108536
5.100000, 0.304912, 3.108536
5.200000, 0.822868, 3.108536
5.300000, 0.258815, 3.108536
5.400000, 0.448793, 2.443513
5.500000, 0.205609, 3.716105
5.600000, 0.122586, 3.562876
5.700000, 0.227844, 3.108536
5.800000, 0.022668, 3.716105
5.900000, 1.372527, 3.627460
6.000000, 1.378126, 3.716105
6.100000, 0.316012, 3.108536
6.200000, 0.511107, 3.108536
6.300000, 0.491253, 2.431602
6.400000, 0.387556, 2.431602
6.500000, 0.580614, 2.431602
6.600000, 0.524207, 2.431602
6.700000, 0.145743, 3.108536
6.800000, 0.243818, 3.108536
6.900000, 0.001684, 3.108536
7.000000, -0.159655, 3.108536
7.100000, -0.563995, 2.724668
7.200000, -0.711616, 2.431602
7.300000, -0.288940, 3.108536
7.400000, -0.233109, 3.826697
7.500000, -0.449065, 3.337174
7.600000, -0.141725, 3.108536
7.700000, -0.203780, 3.337174
7.800000, -0.272739, 3.337174
7.900000, -0.567461, 2.724668
8.000000, -0.553543, 2.724668
8.100000, -0.473625, 3.258512
8.200000, 0.166521, 3.123646
8.300000, 0.041719, 3.372842
8.400000, 0.067974, 3.123646
8.500000, -0.370072, 3.123646
8.600000, -0.279185, 3.258512
8.700000, -0.217755, 3.258512
8.800000, -0.224630, 3.123646
8.900000, -0.226977, 3.123646
9.000000, -0.202626, 3.123646
9.100000, -0.147947, 2.724668
9.200000, -0.497301, 3.123646
9.300000, -0.561642, 2.724668
9.400000, -0.302878, 3.123646
9.500000, -0.510645, 2.724668
9.600000, -0.450593, 2.724668
9.700000, -0.435338, 3.847901
9.800000, -0.213504, 3.847901
9.900000, -0.016870, 3.847901
10.000000, -1.077279, 3.847901
10.100000, -0.564166, 2.724668
10.200000, -0.439446, 2.777167
10.300000, -1.015711, 3.909451
10.400000, -0.457356, 2.724668
10.500000, -0.504022, 2.724668
10.600000, -0.588592, 3.847901
10.700000, -1.339812, 3.847901
10.800000, -0.293745, 3.068374
10.900000, -0.392272, 3.068374
11.000000, -0.209545, 3.847901
11.100000, -0.152881, 3.847901
11.200000, -0.904988, 3.068374
11.300000, -1.628209, 3.847901
11.400000, -2.166291, 2.609252
11.500000, -0.623173, 3.924532
11.600000, -0.726649, 3.044469
11.700000, -1.112212, 3.941552
11.800000, -0.672588, 3.924532
11.900000, -1.723570, 3.924532
12.000000, -0.665344, 3.924532
12.100000, -0.252670, 3.002757
12.200000, -0.386042, 3.044469
12.300000, -0.213978, 3.924532
12.400000, -3.385182, 2.932579
12.500000, 0.044484, 3.272884
12.600000, -0.156763, 2.339249
12.700000, -0.140984, 3.699153
12.800000, -0.011612, 3.086311
12.800000, -0.011612, 3.086311
