time, x, y
0.100000, 0.192101, 3.350689
0.200000, 0.193110, 3.350689
0.300000, 0.570485, 3.297172
0.400000, 4.106964, 2.802409
0.500000, 0.748074, 3.297172
0.600000, 4.177461, 2.802409
0.700000, 0.475174, 3.591363
0.800000, 4.044754, 2.161387
0.900000, 3.327947, 2.488739
1.000000, 0.154935, 2.470198
1.100000, 0.449258, 2.982693
1.200000, 0.255933, 2.982693
1.300000, 0.543635, 2.470198
1.400000, 3.341926, 2.487011
1.500000, 3.286301, 2.487011
1.600000, 1.620398, 2.059055
1.700000, 2.847347, 2.487011
1.800000, 0.854645, 3.298679
1.900000, 0.769733, 3.298679
2.000000, 0.294577, 3.825724
2.100000, 4.359543, 2.590289
2.200000, 0.659476, 2.390287
2.300000, 0.956920, 3.585280
2.400000, 1.197645, 3.585280
2.500000, 1.560203, 3.585280
2.600000, 1.770761, 3.585280
2.700000, 0.338461, 3.114348
2.800000, 0.436681, 3.114348
2.900000, 4.059197, 2.780444
3.000000, 0.163651, 3.114348
3.100000, 0.322828, 3.114348
3.200000, 2.394604, 3.613882
3.300000, 0.834807, 3.279903
3.400000, 2.765378, 2.277330
3.500000, 0.567545, 3.400788
3.600000, -1.763238, 3.641982
3.700000, 0.753952, 2.627453
3.800000, 1.322554, 3.287704
3.900000, 4.497963, 2.341671
4.000000, 4.170260, 2.341671
4.100000, 4.338965, 2.341671
4.200000, 3.484046, 2.341671
4.300000, 0.919598, 3.550579
4.400000, 2.384339, 2.445914
4.500000, 0.596932, 2.599875
4.600000, 0.500631, 2.599875
4.700000, -0.273621, 3.741854
4.800000, 0.568263, 3.466105
4.900000, 0.414612, 2.599875
5.000000, 0.415459, 2.796121
5.100000, 0.655989, 3.466105
5.200000, 1.086548, 3.538643
5.300000, 1.151417, 3.538643
5.400000, 0.086263, 3.466105
5.500000, 0.997246, 3.538643
5.600000, 0.443560, 2.488717
5.700000, 0.540287, 3.466105
5.800000, 4.159928, 2.889182
5.900000, 4.379797, 2.889182
6.000000, 0.633613, 3.336114
6.100000, 1.231101, 3.528433
6.200000, 0.198977, 2.275156
6.300000, 0.523554, 3.070225
6.400000, 0.441343, 2.904354
6.500000, 0.459330, 2.904354
6.600000, 3.645300, 2.723777
6.700000, 3.847287, 2.723777
6.800000, 0.348283, 3.454677
6.900000, 1.089304, 3.574618
7.000000, 0.865485, 3.574618
7.100000, 1.039356, 3.647265
7.200000, 1.123954, 3.647265
7.300000, -0.539560, 3.574618
7.400000, 0.167471, 3.574618
7.500000, 0.092664, 3.574618
7.600000, 0.098543, 3.574618
7.700000, 0.351815, 3.574618
7.800000, -1.665308, 3.840299
7.900000, 0.181935, 3.574618
8.000000, -0.953127, 3.840299
8.100000, -0.955249, 3.699593
8.200000, -1.149520, 3.699593
8.300000, -1.321381, 3.699593
8.400000, -0.557277, 2.301237
8.500000, -1.077666, 3.699593
8.600000, -0.733486, 2.301237
8.700000, -0.766797, 2.301237
8.800000, -0.736495, 2.301237
8.900000, -0.722781, 2.301237
9.000000, -0.923675, 3.574618
9.100000, -0.658400, 2.301237
9.200000, -0.140883, 3.574618
9.300000, -0.561350, 3.699593
9.400000, -0.553021, 3.699593
9.500000, -0.695408, 2.301237
9.600000, -0.393487, 2.946290
9.700000, -0.639454, 2.301237
9.800000, -0.753622, 2.301237
9.900000, -0.614161, 3.574618
10.000000, -0.508880, 3.574618
10.100000, -1.382004, 3.574618
10.200000, -0.960489, 3.574618
10.300000, -1.173400, 3.574618
10.400000, -0.756016, 2.301237
10.500000, -1.568970, 3.574618
10.600000, -1.409546, 3.574618
10.700000, -2.088833, 3.900538
10.800000, -4.042668, 2.258656
10.900000, -0.319561, 2.306414
11.000000, -0.216847, 2.306414
11.100000, 0.012685, 2.248843
11.200000, -0.102543, 2.306414
11.300000, -0.172036, 2.950906
11.400000, -0.199696, 2.248843
11.500000, -2.662332, 2.106842
11.600000, -2.791895, 2.106842
11.700000, -2.816509, 2.106842
11.800000, -0.259855, 3.235143
11.900000, -0.217263, 3.235143
12.000000, -0.910318, 3.736466
12.100000, -1.835249, 3.787727
12.200000, -1.203074, 3.235143
12.300000, -1.468862, 3.235143
12.400000, -0.363908, 3.063784
12.500000, -2.165855, 3.574226
12.600000, -1.558583, 3.235143
12.700000, -0.816571, 3.235143
12.800000, -1.213911, 3.235143
12.900000, -1.496917, 3.235143
13.000000, 3.541542, 2.850391
13.100000, 0.065344, 3.314286
13.200000, -0.058581, 3.943845
13.300000, 0.175403, 3.943845
13.300000, 0.001528, 3.837276
