time, x, y
0.100000, 0.159214, 3.316725
0.200000, -0.034215, 3.316725
0.300000, -0.228226, 3.846417
0.400000, 0.076503, 3.373300
0.500000, 0.063532, 3.228340
0.600000, 0.122841, 3.228340
0.700000, -0.134091, 3.316725
0.800000, 0.168150, 3.228340
0.900000, 0.157043, 3.710325
1.000000, 0.147956, 3.316725
1.100000, -0.168220, 3.710325
1.200000, 0.169621, 3.316725
1.300000, 0.441631, 3.936203
1.400000, 0.197240, 3.316725
1.500000, 0.153722, 3.272042
1.600000, 0.173648, 3.316725
1.700000, 0.182714, 3.228340
1.800000, 0.188773, 3.228340
1.900000, 0.084644, 3.847293
2.000000, 0.004068, 3.847293
2.100000, 0.208787, 3.847293
2.200000, -0.029172, 3.847293
2.300000, -0.054770, 3.847293
2.400000, -0.215732, 2.701531
2.500000, 0.188631, 3.847293
2.600000, 0.054266, 3.847293
2.700000, 0.030169, 3.847293
2.800000, -0.041099, 3.847293
2.900000, -0.178681, 3.847293
3.000000, -0.036668, 3.847293
3.100000, 0.041027, 3.847293
3.200000, 0.029048, 3.847293
3.300000, -0.054528, 3.847293
3.400000, 0.184142, 3.847293
3.500000, -0.055502, 3.847293
3.600000, 0.213226, 3.847293
3.700000, -0.042811, 3.847293
3.800000, -0.039395, 3.847293
3.900000, -0.031601, 3.847293
4.000000, 0.051594, 3.847293
4.100000, -0.057342, 3.847293
4.200000, 0.987127, 3.847293
4.300000, 0.970686, 3.847293
4.400000, 0.072743, 3.847293
4.500000, -0.029472, 3.847293
4.600000, -0.059182, 3.847293
4.700000, 0.185054, 3.847293
4.800000, 0.056193, 3.760732
4.900000, 0.207013, 3.847293
5.000000, -0.178870, 3.847293
5.100000, -0.048584, 3.847293
5.200000, 0.174965, 3.847293
5.300000, 0.107042, 3.847293
5.400000, 0.158134, 3.847293
5.500000, -0.029349, 3.847293
5.600000, -1.050407, 3.847293
5.700000, 0.206426, 3.847293
5.800000, 0.021969, 3.847293
5.900000, -0.111151, 3.847293
6.000000, -0.009433, 3.847293
6.100000, -0.051186, 3.847293
6.200000, -0.044904, 3.847293
6.300000, 0.517953, 3.847293
6.400000, -0.041264, 3.847293
6.500000, 0.323886, 2.876995
6.600000, -0.051375, 3.847293
6.700000, 0.206721, 3.386361
6.800000, 0.169303, 3.935055
6.900000, -0.015679, 3.935055
7.000000, -0.135560, 3.935055
7.100000, -0.102035, 3.847293
7.200000, -0.024715, 3.935055
7.300000, 0.805214, 3.847293
7.400000, -0.040410, 3.847293
7.500000, -0.060637, 3.847293
7.600000, -0.120227, 3.847293
7.700000, 0.459664, 3.847293
7.800000, 0.623981, 3.847293
7.900000, 0.067855, 3.705488
8.000000, -0.004914, 3.935055
8.100000, -0.404097, 2.769556
8.200000, -0.048534, 3.935055
8.300000, -0.058917, 3.847293
8.400000, -0.138694, 3.847293
8.500000, -0.204964, 3.847293
8.600000, -0.212210, 3.847293
8.700000, -0.095767, 3.935055
8.800000, -0.215529, 3.935055
8.900000, -0.631869, 3.935055
9.000000, -0.144444, 3.847293
9.100000, -0.161370, 3.935055
9.200000, -0.114531, 3.935055
9.300000, -0.217271, 3.935055
9.400000, -0.209734, 3.847293
9.500000, -1.343689, 3.935055
9.600000, -0.178163, 3.847293
9.700000, -0.222725, 3.847293
9.800000, -0.189796, 3.847293
9.900000, -0.186045, 3.847293
10.000000, -0.117749, 3.847293
10.100000, -0.116492, 3.847293
10.200000, -0.097752, 3.847293
10.300000, -0.181352, 3.847293
10.400000, -0.306279, 3.152466
10.500000, -0.030478, 3.847293
10.600000, -0.198698, 3.847293
10.700000, 0.034126, 3.847293
10.800000, -0.033731, 3.847293
10.900000, -0.142108, 3.847293
11.000000, -0.041898, 3.847293
11.100000, -0.199253, 3.847293
11.200000, -0.192233, 3.847293
11.300000, -0.194607, 3.847293
11.400000, -0.048932, 3.847293
11.500000, -0.189156, 3.847293
11.600000, -0.027331, 3.847293
11.700000, -0.060816, 3.847293
11.800000, -0.160789, 3.847293
11.900000, -0.189492, 3.847293
12.000000, -0.080590, 3.847293
12.100000, -0.036529, 3.847293
12.200000, -0.065175, 3.847293
12.300000, -0.036496, 3.847293
12.400000, -0.041255, 3.847293
12.500000, -0.051593, 3.847293
12.600000, -0.032585, 3.847293
12.700000, -0.049924, 3.847293
12.800000, -0.046433, 3.847293
12.900000, -0.042741, 3.847293
13.000000, -0.063234, 3.847293
13.100000, -0.187168, 3.847293
13.200000, -0.200334, 3.847293
13.300000, -0.064265, 3.847293
13.400000, -0.214094, 3.847293
13.500000, 1.126025, 3.847293
13.600000, 0.472541, 3.818026
13.700000, -0.048669, 2.876165
13.800000, 0.145500, 3.374139
13.900000, 0.057652, 3.374139
13.900000, 0.057652, 3.374139
