time, x, y
0.100000, -0.147028, 8.205143
0.200000, -0.250882, 8.205143
0.300000, 0.460043, 9.728797
0.400000, 0.268193, 9.728797
0.500000, 0.344819, 9.912016
0.600000, 0.474563, 9.728797
0.700000, 0.340175, 9.728797
0.800000, -0.270053, 9.728797
0.900000, 0.350969, 9.728797
1.000000, 0.412199, 9.728797
1.100000, 0.286247, 9.728797
1.200000, 0.463347, 9.728797
1.300000, 0.423287, 9.728797
1.400000, 0.403392, 9.728797
1.500000, -0.512896, 9.728797
1.600000, -0.508974, 9.728797
1.700000, -0.486124, 9.728797
1.800000, -0.887589, 9.053607
1.900000, 0.133652, 9.728797
2.000000, -0.562567, 9.269593
2.100000, -0.498318, 9.728797
2.200000, 0.935253, 9.728797
2.300000, -0.572215, 9.728797
2.400000, -0.516161, 9.728797
2.500000, -0.504739, 9.728797
2.600000, -0.503844, 9.728797
2.700000, -0.495766, 9.728797
2.800000, 0.462605, 9.728797
2.900000, 0.367592, 9.423279
3.000000, -0.485007, 9.728797
3.100000, 0.208812, 9.728797
3.200000, -0.349322, 9.423279
3.300000, -0.981306, 9.728797
3.400000, -0.554093, 9.728797
3.500000, -0.479361, 9.329905
3.600000, -0.496518, 9.728797
3.700000, -0.491858, 9.728797
3.800000, -0.506581, 9.728797
3.900000, -0.522313, 9.728797
4.000000, -0.552846, 9.728797
4.100000, -0.477638, 9.728797
4.200000, -0.777596, 9.329905
4.300000, -0.763881, 9.728797
4.400000, -1.078768, 3.814369
4.500000, -1.076185, 3.814369
4.600000, -0.208505, 7.627477
4.700000, -0.536315, 8.092274
4.800000, -0.116143, 7.627477
4.900000, -0.167245, 7.627477
5.000000, -0.758117, 6.008248
5.100000, -0.686896, 3.814369
5.200000, -0.672764, 3.814369
5.300000, -1.428379, 3.814369
5.400000, -1.645305, 3.814369
5.500000, -1.129269, 3.814369
5.600000, -1.333448, 3.814369
5.700000, -1.074532, 3.814369
5.800000, -1.482444, 3.814369
5.900000, -1.727374, 3.814369
6.000000, 0.744792, 7.923306
6.100000, 0.810752, 7.923306
6.200000, -0.527868, 6.353554
6.300000, -0.812851, 6.334635
6.400000, 0.722089, 7.923306
6.500000, -0.508843, 7.923306
6.600000, -0.159414, 8.596808
6.700000, 0.777961, 6.235186
6.800000, 0.040844, 9.365846
6.900000, -0.417513, 7.923306
7.000000, -0.262502, 9.365846
7.100000, 0.187698, 8.697919
7.200000, -0.784095, 2.530115
7.300000, -0.661284, 6.884918
7.400000, -0.498390, 6.884918
7.500000, 0.657637, 8.253468
7.600000, 0.187582, 3.902385
7.700000, 0.266093, 3.902385
7.800000, -0.251886, 9.465182
7.900000, -2.286558, 2.358778
8.000000, -0.169289, 3.902385
8.100000, 0.416265, 3.902385
8.200000, 0.590610, 3.902385
8.300000, 0.693477, 3.902385
8.400000, 0.595230, 3.902385
8.500000, -4.838977, 3.307025
8.600000, -4.753062, 3.307025
8.700000, -0.224683, 7.849033
8.800000, -0.392614, 2.460361
8.900000, -0.681215, 3.680851
9.000000, -0.176253, 3.902385
9.100000, -0.185431, 3.902385
9.200000, 0.625047, 3.902385
9.300000, -0.203734, 3.902385
9.400000, -0.158981, 3.902385
9.500000, -0.189383, 3.902385
9.600000, 0.452638, 6.770422
9.700000, 0.228914, 7.467257
9.800000, -0.760342, 9.085347
9.900000, -0.960544, 9.085347
10.000000, -0.356296, 7.467257
10.100000, -0.089429, 7.467257
10.200000, -0.392522, 7.467257
10.300000, -0.258731, 9.606463
10.400000, -0.266578, 9.606463
10.500000, -0.414882, 9.606463
10.600000, 0.633114, 7.467257
10.700000, -0.916177, 9.606463
10.800000, -0.388005, 7.467257
10.900000, -0.361325, 8.714158
11.000000, -0.114210, 9.358269
11.100000, -0.721892, 8.714158
11.200000, -0.096726, 7.467257
11.300000, -0.425013, 7.467257
11.400000, 0.777575, 9.842818
11.500000, -0.343339, 9.645241
11.600000, -0.457557, 9.645241
11.600000, -0.457557, 9.645241
