time, x, y
0.100000, 0.256498, 9.660949
0.200000, -0.475914, 9.738161
0.300000, -0.412086, 9.738161
0.400000, 0.427426, 9.738161
0.500000, 0.464757, 9.738161
0.600000, -0.422096, 9.738161
0.700000, 0.234538, 9.738161
0.800000, 0.319395, 9.738161
0.900000, 0.274450, 9.738161
1.000000, -0.469069, 9.738161
1.100000, -0.732653, 9.738161
1.200000, -0.824099, 9.738161
1.300000, -1.359369, 9.510075
1.400000, 0.514642, 9.738161
1.500000, 0.583788, 9.738161
1.600000, -0.488593, 9.738161
1.700000, -0.426936, 9.738161
1.800000, -0.421461, 9.738161
1.900000, 0.114825, 9.738161
2.000000, -2.232235, 3.101011
2.100000, -2.164566, 3.101011
2.200000, -2.035825, 3.101011
2.300000, -1.055416, 3.101011
2.400000, 5.346752, 7.521172
2.500000, -1.030257, 3.101011
2.600000, -0.156061, 3.101011
2.700000, -1.536175, 9.586790
2.800000, -3.965876, 3.490736
2.900000, -4.108373, 3.490736
3.000000, 4.072360, 9.638454
3.100000, -4.710554, 3.490736
3.200000, -4.503282, 3.490736
3.300000, -4.654630, 3.490736
3.400000, -5.383034, 3.490736
3.500000, -4.458510, 3.490736
3.600000, -5.251303, 3.490736
3.700000, -3.884872, 3.490736
3.800000, 0.037409, 8.330403
3.900000, 0.174082, 8.330403
4.000000, 0.379194, 8.330403
4.100000, 0.432930, 8.330403
4.200000, -0.463740, 4.294382
4.300000, -2.371364, 5.187423
4.400000, -1.282983, 8.330403
4.500000, -1.350772, 4.699320
4.600000, -5.678516, 3.737727
4.700000, -5.775952, 3.737727
4.800000, -5.925591, 3.737727
4.900000, -0.527009, 9.497506
5.000000, -0.550966, 9.497506
5.100000, -5.547612, 3.737727
5.200000, -5.745477, 3.737727
5.300000, -5.088973, 3.737727
5.400000, -1.326296, 3.682109
5.500000, -1.248859, 3.682109
5.600000, -1.031039, 3.682109
5.700000, -1.352232, 3.682109
5.800000, -1.664363, 3.682109
5.900000, -1.708983, 3.682109
6.000000, -1.707361, 3.682109
6.100000, -1.875280, 3.682109
6.200000, -0.153745, 4.502962
6.300000, -0.931561, 6.118599
6.400000, -0.982700, 8.043359
6.500000, -1.084719, 3.682109
6.600000, 0.414642, 8.975721
6.700000, -0.775075, 6.118599
6.800000, -0.989024, 6.118599
6.900000, -1.068909, 3.682109
7.000000, -0.467953, 8.975721
7.100000, -0.350400, 8.975721
7.200000, -0.564113, 8.975721
7.300000, 0.305488, 7.771536
7.400000, -0.888339, 8.975721
7.500000, 0.568498, 8.268087
7.600000, -0.349472, 6.118599
7.700000, 0.292930, 6.118599
7.800000, -0.633216, 9.810335
7.900000, -0.340705, 9.810335
8.000000, -0.521522, 9.809935
8.100000, 0.461035, 9.810335
8.200000, -0.361995, 9.809935
8.300000, 0.837127, 6.118599
8.400000, 0.776774, 6.118599
8.500000, -0.524852, 8.474780
8.600000, -0.384756, 8.474780
8.700000, 0.446909, 9.810335
8.800000, 0.891816, 6.118599
8.900000, 0.501080, 9.809935
9.000000, -0.343112, 9.810335
9.100000, 0.758292, 5.695798
9.200000, 0.306990, 9.810335
9.300000, 0.799037, 5.695798
9.400000, 0.116882, 9.809935
9.500000, 0.437001, 9.809935
9.600000, -0.461302, 9.809935
9.700000, -0.325258, 9.810335
9.800000, -0.866528, 9.810335
9.900000, 0.803880, 6.118599
10.000000, 0.850408, 6.118599
10.100000, 0.816429, 6.118599
10.200000, 0.712801, 6.118599
10.300000, 0.872558, 6.118599
10.400000, 0.984779, 6.118599
10.500000, -0.688630, 7.594234
10.600000, 0.232069, 9.917478
10.700000, -0.037899, 9.917478
10.800000, 0.650617, 7.594234
10.900000, -0.399116, 7.594234
11.000000, 0.822870, 7.223943
11.100000, 0.349196, 9.410338
11.200000, 0.846272, 7.594234
11.300000, -0.082513, 7.594234
11.400000, 0.655952, 8.073673
11.500000, 0.464621, 8.073673
11.600000, 0.594847, 7.594234
11.700000, 0.073781, 8.936922
11.800000, -0.833469, 7.594234
11.900000, -0.185267, 8.409070
12.000000, 0.853374, 7.853585
12.100000, -0.268116, 9.737239
12.200000, 0.156535, 9.737239
12.300000, 0.581048, 9.737239
12.400000, -0.348822, 7.594234
12.500000, -0.309459, 7.594234
12.600000, -0.172859, 7.594234
12.700000, -0.377688, 7.594234
12.800000, -0.406643, 7.594234
12.900000, -0.534277, 9.802234
13.000000, -0.278205, 9.802234
13.100000, 0.050715, 9.802234
13.200000, 0.418470, 9.802234
13.300000, -0.355447, 7.832137
13.400000, 0.554599, 8.452239
13.500000, -0.181782, 9.020884
13.600000, -0.145018, 9.020884
13.700000, 0.326184, 9.326471
13.800000, 0.208773, 9.326471
13.900000, 0.062575, 9.326471
14.000000, 0.272485, 9.326471
14.100000, 0.274862, 9.326471
14.200000, 0.203168, 9.326471
14.300000, 0.273325, 9.326471
14.400000, 0.310920, 9.326471
14.500000, 0.380820, 9.326471
14.600000, 0.324803, 9.326471
14.700000, -0.330867, 9.550511
14.700000, 0.315583, 9.326471
