time, x, y
0.100000, -0.371108, 9.949058
0.200000, 0.348887, 6.745019
0.300000, 0.605256, 9.062602
0.400000, -0.051096, 9.949058
0.500000, -3.988130, 3.303447
0.600000, -0.124731, 8.887429
0.700000, -0.413626, 8.887429
0.800000, -0.518659, 8.887429
0.900000, -0.330870, 9.074395
1.000000, -0.880314, 6.521891
1.100000, -0.545553, 8.887429
1.200000, -0.139410, 8.887429
1.300000, 0.110915, 8.887429
1.400000, 0.225104, 8.887429
1.500000, 0.059761, 8.887429
1.600000, -0.445627, 8.887429
1.700000, -0.023175, 8.887429
1.800000, -0.891940, 8.887429
1.900000, -0.469353, 8.887429
2.000000, -0.920111, 8.887429
2.100000, -0.452433, 8.887429
2.200000, 0.246548, 8.887429
2.300000, 0.377317, 9.707134
2.400000, 0.167981, 8.887429
2.500000, 0.482600, 8.887429
2.600000, -0.459423, 8.887429
2.700000, -0.460391, 8.887429
2.800000, 0.464690, 8.887429
2.900000, -0.065240, 9.951911
3.000000, -0.359705, 9.951911
3.100000, -0.524636, 9.951911
3.200000, -0.666694, 9.951911
3.300000, 0.319653, 9.187017
3.400000, 0.225009, 9.187017
3.500000, -0.470980, 8.887429
3.600000, -0.455078, 8.887429
3.700000, 0.517372, 8.887429
3.800000, -0.489054, 9.187017
3.900000, -0.687749, 6.079033
4.000000, -0.448026, 9.187017
4.100000, 0.081272, 9.102348
4.200000, -0.464712, 9.187017
4.300000, -0.381149, 9.187017
4.400000, -0.481277, 8.887429
4.500000, -0.441852, 8.887429
4.600000, -0.433196, 8.887429
4.700000, -0.502343, 9.187017
4.800000, -0.542925, 9.187017
4.900000, -0.513993, 9.187017
5.000000, 0.461948, 8.887429
5.100000, 0.251832, 8.887429
5.200000, -0.545728, 9.187017
5.300000, -0.305969, 9.187017
5.400000, -0.449889, 9.143522
5.500000, -0.334743, 9.143522
5.600000, -0.397482, 9.143522
5.700000, -0.247800, 9.187017
5.800000, 0.796142, 8.887429
5.900000, -0.889362, 8.887429
6.000000, -0.461870, 9.187017
6.100000, -0.486576, 9.187017
6.200000, -0.491711, 9.187017
6.300000, -0.479226, 9.187017
6.400000, -0.478840, 9.342689
6.500000, -0.163045, 9.342689
6.600000, 0.167099, 9.342689
6.700000, -0.386331, 9.187017
6.800000, -0.401685, 9.187017
6.900000, -0.407415, 9.187017
7.000000, -0.359613, 9.187017
7.100000, -0.436981, 8.887429
7.200000, -0.311330, 9.187017
7.300000, 0.204441, 9.936200
7.400000, 0.291144, 9.936200
7.500000, 0.226784, 9.936200
7.600000, 0.184665, 9.936200
7.700000, 0.246491, 9.936200
7.800000, 0.253988, 9.936200
7.900000, 0.137814, 9.936200
8.000000, 0.506513, 9.936200
8.100000, -0.182754, 9.936200
8.200000, -0.523362, 9.936200
8.300000, -0.352441, 9.936200
8.400000, -0.184084, 9.936200
8.500000, 0.855093, 8.887429
8.600000, 0.028096, 9.936200
8.700000, -0.428818, 9.936200
8.800000, -0.402995, 9.936200
8.900000, -0.054975, 9.936200
9.000000, 0.056858, 9.936200
9.100000, -0.187100, 9.936200
9.200000, 0.316763, 9.936200
9.300000, 0.230654, 9.936200
9.400000, -0.680918, 9.936200
9.500000, -0.113161, 9.936200
9.600000, -0.303322, 9.936200
9.700000, 0.519470, 9.936200
9.800000, 0.514257, 9.936200
9.900000, 0.526120, 9.936200
10.000000, -0.510033, 9.936200
10.100000, -0.507678, 9.936200
10.200000, 0.470599, 9.936200
10.300000, 0.302705, 9.936200
10.400000, -0.040531, 9.936200
10.500000, -0.126680, 8.867226
10.600000, -0.429461, 9.936200
10.700000, 0.378102, 9.936200
10.800000, 0.866673, 5.540875
10.900000, 0.242490, 9.936200
11.000000, 0.326220, 9.936200
11.100000, 0.463867, 9.936200
11.200000, -0.376365, 9.936200
11.300000, -0.402792, 9.936200
11.400000, 0.521898, 9.936200
11.500000, -0.227004, 9.936200
11.600000, -0.517880, 9.936200
11.700000, 0.191405, 9.936200
11.800000, -0.418803, 9.936200
11.900000, 0.237635, 9.936200
12.000000, 0.236576, 9.936200
12.100000, -0.476102, 9.936200
12.200000, -0.411610, 9.936200
12.300000, 0.487560, 9.936200
12.400000, 0.401356, 9.936200
12.500000, 0.247634, 9.936200
12.600000, 0.211440, 9.936200
12.700000, 0.485023, 9.936200
12.800000, -0.447918, 9.936200
12.900000, 0.245360, 9.936200
13.000000, -0.490476, 9.936200
13.100000, -0.436183, 9.936200
13.200000, 0.335520, 9.936200
13.300000, -0.494885, 9.936200
13.400000, -0.444097, 9.936200
13.500000, -0.220361, 9.936200
13.600000, 0.063646, 9.936200
13.700000, -0.467896, 9.936200
13.800000, 0.519349, 9.936200
13.900000, 0.532287, 9.936200
14.000000, 0.268855, 9.936200
14.100000, -0.473991, 9.936200
14.200000, 0.251908, 9.936200
14.300000, 0.237491, 9.981046
14.400000, 0.258411, 9.981046
14.500000, -0.459178, 9.936200
14.600000, 0.000639, 9.981046
14.700000, 0.493395, 9.936200
14.800000, 0.484106, 9.936200
14.900000, 0.449837, 9.936200
15.000000, -0.442736, 9.981046
15.100000, -0.435035, 9.981046
15.200000, 0.487095, 9.936200
15.300000, -0.457990, 9.981046
15.400000, 0.318746, 9.981046
15.500000, 0.465128, 9.981046
15.600000, 0.521865, 9.936200
15.700000, 0.184335, 9.981046
15.800000, -0.232952, 9.981046
15.900000, 0.524174, 9.981046
16.000000, 0.198596, 9.936200
16.000000, 0.472905, 9.981046
