time, x, y
0.100000, -8.964139, 12.569668
0.200000, -6.771766, 14.106191
0.300000, -11.116209, 13.418860
0.400000, -6.952984, 4.424671
0.500000, -10.381295, 12.265998
0.600000, -11.021575, 13.817419
0.700000, -11.160360, 13.817419
0.800000, -9.110938, 10.892433
0.900000, -5.228389, 13.776569
1.000000, -10.238326, 11.757968
1.100000, -10.081366, 13.223404
1.200000, 0.070115, 8.978907
1.300000, 10.860782, 11.968320
1.400000, -6.263567, 12.529469
1.500000, -7.858922, 14.310176
1.600000, -11.755319, 14.458442
1.700000, -11.675024, 14.458442
1.800000, -8.216667, 11.779501
1.900000, -10.797385, 13.920397
2.000000, 7.706234, 7.245779
2.100000, -8.263613, 13.662005
2.200000, -8.218879, 13.662005
2.300000, -8.344614, 13.662005
2.400000, 5.353847, 14.268184
2.500000, -0.547266, 11.723787
2.600000, -0.798601, 6.724626
2.700000, -11.508056, 13.571530
2.800000, -11.354314, 13.716143
2.900000, -11.869118, 13.571530
3.000000, -10.620891, 13.571530
3.100000, 4.222533, 14.543249
3.200000, -11.763180, 13.118881
3.300000, -10.509195, 5.996736
3.400000, -11.370931, 12.475080
3.500000, -12.036146, 13.118881
3.600000, -11.806417, 13.118881
3.700000, -9.374678, 14.339424
3.800000, -9.897049, 14.226918
3.900000, -9.474059, 14.339424
4.000000, -9.440409, 14.339424
4.100000, -6.787848, 12.645932
4.200000, -2.649075, 14.100620
4.300000, 1.858171, 14.327932
4.400000, 0.004688, 13.062820
4.500000, 2.269864, 14.327932
4.600000, 5.276930, 13.593297
4.700000, -6.515683, 13.210102
4.800000, 0.466273, 10.231922
4.900000, 4.576935, 13.809740
5.000000, -5.804700, 4.353616
5.100000, 0.856975, 14.522940
5.200000, 0.508429, 8.282068
5.300000, 11.130037, 8.246625
5.400000, -11.296203, 13.387413
5.500000, -0.904235, 13.008519
5.600000, -1.140565, 13.008519
5.700000, -3.782151, 11.581505
5.800000, -1.871191, 13.008519
5.900000, 2.376073, 13.791489
6.000000, -8.853942, 13.685575
6.100000, -8.841568, 13.685575
6.200000, -9.673502, 14.079944
6.300000, -8.551383, 13.685575
6.400000, -6.254801, 12.586670
6.500000, -8.916759, 13.685575
6.600000, -5.130515, 14.085797
6.700000, -0.515391, 13.477751
6.800000, -6.995144, 10.639162
6.900000, -5.052464, 13.824470
7.000000, 0.601614, 7.568486
7.100000, 1.166322, 12.843195
7.200000, 0.074441, 9.720955
7.300000, -6.364691, 14.010907
7.400000, -2.992856, 14.138549
7.500000, 9.507638, 5.320465
7.600000, 2.716131, 10.936952
7.700000, 9.662245, 5.320465
7.800000, -8.617838, 13.960825
7.900000, -4.996032, 13.030118
7.900000, -4.996032, 13.030118
