time, x, y
0.100000, -3.681992, 13.689348
0.200000, 0.433871, 8.592573
0.300000, 0.489962, 8.592573
0.400000, 0.465962, 8.592573
0.500000, 0.454786, 8.592573
0.600000, -0.295057, 11.955205
0.700000, -2.543385, 13.689348
0.800000, -0.740839, 13.565973
0.900000, -0.619610, 13.565973
1.000000, 0.282896, 9.052155
1.100000, 0.387311, 9.146417
1.200000, -0.839680, 13.565973
1.300000, -0.072265, 9.052155
1.400000, 0.707654, 13.565973
1.500000, -0.004875, 9.052155
1.600000, -0.548014, 13.565973
1.700000, 0.537526, 13.565973
1.800000, -1.960813, 13.962318
1.900000, 0.257464, 9.052155
2.000000, 0.712033, 13.565973
2.100000, 2.089455, 13.565973
2.200000, 0.690610, 13.565973
2.300000, 0.073680, 13.970679
2.400000, 2.070174, 13.121768
2.500000, 0.159938, 9.052155
2.600000, 2.253765, 13.565973
2.700000, -0.924471, 11.854172
2.800000, -1.707842, 11.892342
2.900000, -0.399504, 12.132352
3.000000, 0.725369, 13.565973
3.100000, 0.689174, 13.565973
3.200000, -0.753646, 13.565973
3.300000, -2.140775, 13.831033
3.400000, 0.719170, 13.651089
3.500000, 0.571368, 11.645940
3.600000, 0.860940, 13.565973
3.700000, -2.178246, 13.565973
3.800000, -3.603698, 13.565973
3.900000, 0.731431, 13.565973
4.000000, 0.666311, 13.565973
4.100000, 1.947563, 12.157565
4.200000, 5.470268, 14.071120
4.300000, 2.053869, 12.984277
4.400000, 5.387097, 14.071120
4.500000, 5.329103, 14.071120
4.600000, 11.385696, 13.254004
4.700000, 2.289343, 14.308887
4.800000, 4.273103, 12.883510
4.900000, 4.394052, 10.847115
5.000000, -0.431678, 12.104190
5.100000, 3.891119, 13.633124
5.200000, 1.802955, 10.696686
5.300000, 2.105245, 11.641703
5.300000, 4.857454, 11.984399
