time, x, y
0.100000, -1.447885, 14.353025
0.200000, -1.248433, 14.353025
0.300000, 0.797430, 12.740904
0.400000, -0.813029, 14.353025
0.500000, -0.713346, 14.353025
0.600000, 0.350984, 8.843512
0.700000, -0.581542, 12.740904
0.800000, -0.707630, 12.740904
0.900000, -0.443871, 9.424650
1.000000, -0.349397, 10.417572
1.100000, 0.609650, 13.490764
1.200000, -0.490117, 14.208665
1.300000, -0.737998, 14.208665
1.400000, -0.193034, 10.081303
1.500000, -0.580535, 10.612565
1.600000, 0.905741, 14.443452
1.700000, 0.602574, 14.443452
1.800000, -0.440428, 14.443452
1.900000, -1.011859, 14.443452
2.000000, 0.581056, 10.476724
2.100000, 0.676902, 10.476724
2.200000, -0.151463, 10.081303
2.300000, -0.584723, 10.476724
2.400000, -0.214679, 10.476724
2.500000, 0.494501, 10.081303
2.600000, -0.122041, 10.081303
2.700000, 0.549480, 10.081303
2.800000, -0.282162, 10.081303
2.900000, 2.638305, 12.875374
3.000000, 0.789576, 12.768199
3.100000, 0.577205, 12.768199
3.200000, 0.382484, 9.047270
3.300000, 1.377183, 12.768199
3.400000, 1.982243, 12.768199
3.500000, -0.199257, 10.759286
3.600000, -0.318038, 10.759286
3.700000, 0.562975, 14.518473
3.800000, -0.514387, 12.249569
3.900000, -0.512397, 12.249569
4.000000, -0.576756, 12.249569
4.100000, 0.393581, 10.081303
4.200000, -0.953823, 12.249569
4.300000, -1.003708, 13.533873
4.400000, -1.170079, 13.533873
4.500000, -1.341000, 13.533873
4.600000, -1.698588, 14.336921
4.700000, 0.781196, 11.929976
4.800000, 7.858052, 7.706866
4.900000, -5.599994, 12.322128
5.000000, -4.685530, 12.500121
5.100000, 4.331696, 12.238519
5.200000, 4.527333, 12.238519
5.300000, 9.194388, 14.146206
5.400000, -10.059234, 13.443723
5.500000, 1.785167, 14.143803
5.600000, -0.447865, 12.366614
5.700000, 4.168976, 13.251622
5.800000, 4.138349, 13.667848
5.900000, -9.485050, 14.476848
6.000000, -0.443423, 12.875289
6.100000, 0.220493, 10.308763
6.200000, -1.296534, 13.911058
6.300000, 4.203842, 13.079473
6.400000, 1.340268, 13.878801
6.500000, -0.450412, 14.357662
6.600000, -0.600160, 14.357662
6.700000, -0.878456, 12.988570
6.800000, -0.456144, 10.801609
6.900000, 1.071025, 12.711024
7.000000, 0.909193, 7.674479
7.100000, 0.563365, 10.801609
7.200000, 0.480539, 12.175073
7.300000, 0.599873, 12.728584
7.400000, -0.640230, 12.175073
7.500000, 2.052612, 10.736986
7.600000, -0.758525, 12.175073
7.600000, 0.430586, 10.801609
